epoch,lr,train/loss_confid,train/accuracy,train/auc,train/ap_success,train/ap_errors,val/loss_confid,val/accuracy,val/auc,val/ap_success,val/ap_errors,test/loss_confid,test/accuracy,test/auc,test/ap_success,test/ap_errors
001,1.0e-03,8.3642e-04,96.77%,50.09%,96.96%,3.19%,3.1288e-04,96.57%,63.33%,97.76%,5.89%,3.1357e-04,96.65%,65.47%,98.08%,6.66%
002,1.0e-03,2.2439e-04,96.74%,55.99%,97.49%,3.81%,2.1420e-04,96.57%,63.59%,97.78%,6.07%,2.1200e-04,96.65%,65.59%,98.07%,6.84%
003,1.0e-03,2.0528e-04,96.72%,61.49%,97.77%,4.87%,2.1100e-04,96.57%,63.78%,97.78%,6.26%,2.0871e-04,96.65%,65.83%,98.08%,6.99%
004,1.0e-03,2.0487e-04,96.77%,62.10%,97.88%,4.90%,2.1049e-04,96.57%,63.95%,97.79%,6.43%,2.0816e-04,96.65%,66.07%,98.10%,7.12%
005,1.0e-03,2.0518e-04,96.74%,62.58%,97.90%,5.15%,2.1045e-04,96.57%,64.10%,97.80%,6.57%,2.0788e-04,96.65%,66.29%,98.11%,7.24%
006,1.0e-03,2.0310e-04,96.78%,62.98%,97.95%,5.14%,2.0990e-04,96.57%,64.23%,97.81%,6.70%,2.0769e-04,96.65%,66.50%,98.13%,7.35%
007,1.0e-03,2.0379e-04,96.77%,63.29%,97.96%,5.39%,2.0987e-04,96.57%,64.36%,97.82%,6.84%,2.0748e-04,96.65%,66.70%,98.14%,7.43%
008,1.0e-03,2.0298e-04,96.76%,63.09%,97.95%,5.32%,2.0957e-04,96.57%,64.46%,97.82%,6.99%,2.0727e-04,96.65%,66.89%,98.15%,7.51%
009,1.0e-03,2.0353e-04,96.76%,63.27%,97.96%,5.47%,2.0961e-04,96.57%,64.58%,97.83%,7.08%,2.0713e-04,96.65%,67.06%,98.17%,7.59%
010,1.0e-03,2.0301e-04,96.72%,63.52%,97.93%,5.42%,2.0965e-04,96.57%,64.69%,97.83%,7.20%,2.0697e-04,96.65%,67.21%,98.18%,7.66%
011,1.0e-03,2.0468e-04,96.70%,64.00%,97.95%,5.83%,2.0940e-04,96.57%,64.79%,97.84%,7.31%,2.0683e-04,96.65%,67.36%,98.19%,7.73%
012,1.0e-03,2.0289e-04,96.78%,63.77%,97.97%,5.48%,2.0927e-04,96.57%,64.88%,97.84%,7.40%,2.0664e-04,96.65%,67.49%,98.20%,7.77%
013,1.0e-03,2.0111e-04,96.82%,64.47%,98.08%,5.55%,2.0893e-04,96.57%,64.97%,97.85%,7.46%,2.0647e-04,96.65%,67.62%,98.20%,7.80%
014,1.0e-03,2.0389e-04,96.73%,64.95%,98.03%,6.19%,2.0882e-04,96.57%,65.07%,97.86%,7.53%,2.0639e-04,96.65%,67.76%,98.21%,7.84%
015,1.0e-03,2.0181e-04,96.74%,64.34%,98.00%,5.75%,2.0882e-04,96.57%,65.16%,97.86%,7.61%,2.0618e-04,96.65%,67.88%,98.22%,7.88%
016,1.0e-03,2.0532e-04,96.66%,64.46%,97.96%,5.79%,2.0855e-04,96.57%,65.26%,97.87%,7.69%,2.0610e-04,96.65%,67.99%,98.23%,7.92%
017,1.0e-03,2.0307e-04,96.72%,64.95%,98.05%,5.92%,2.0868e-04,96.57%,65.37%,97.87%,7.78%,2.0592e-04,96.65%,68.11%,98.24%,7.94%
018,1.0e-03,2.0244e-04,96.74%,65.23%,98.07%,5.98%,2.0804e-04,96.57%,65.46%,97.88%,7.83%,2.0575e-04,96.65%,68.22%,98.25%,7.98%
019,1.0e-03,2.0112e-04,96.79%,65.43%,98.09%,6.02%,2.0817e-04,96.57%,65.55%,97.88%,7.88%,2.0560e-04,96.65%,68.32%,98.25%,8.00%
020,1.0e-03,2.0216e-04,96.74%,65.34%,98.08%,5.95%,2.0848e-04,96.57%,65.65%,97.89%,7.93%,2.0544e-04,96.65%,68.41%,98.26%,8.02%
